school_state,teacher_prefix,project_grade_category,teacher_number_of_previously_posted_projects,clean_categories,clean_subcategories,essay,price,project_is_approved
ca,mrs,grades_prek_2,53,math_science,appliedsciences health_lifescience,i fortunate enough use fairy tale stem kits classroom well stem journals students really enjoyed i would love implement lakeshore stem kits classroom next school year provide excellent engaging stem lessons my students come variety backgrounds including language socioeconomic status many not lot experience science engineering kits give materials provide exciting opportunities students each month i try several science stem steam projects i would use kits robot help guide science instruction engaging meaningful ways i adapt kits current language arts pacing guide already teach material kits like tall tales paul bunyan johnny appleseed the following units taught next school year i implement kits magnets motion sink vs float robots i often get units not know if i teaching right way using right materials the kits give additional ideas strategies lessons prepare students science it challenging develop high quality science activities these kits give materials i need provide students science activities go along curriculum classroom although i things like magnets classroom i not know use effectively the kits provide right amount materials show use appropriate way,725.05,1
ut,ms,grades_3_5,4,specialneeds,specialneeds,imagine 8 9 years old you third grade classroom you see bright lights kid next chewing gum birds making noise street outside buzzing cars hot teacher asking focus learning ack you need break so students most students autism anxiety another disability it tough focus school due sensory overload emotions my students lot deal school i think makes incredible kids planet they kind caring sympathetic they know like overwhelmed understand someone else struggling they open minded compassionate they kids someday change world it tough one thing time when sensory overload gets way hardest thing world focus learning my students need many breaks throughout day one best items used boogie board if classroom students could take break exactly need one regardless rooms school occupied many students need something hands order focus task hand putty give sensory input need order focus calm overloaded help improve motor skills make school fun when students able calm ready learn when able focus learn retain they get sensory input need prevent meltdowns scary everyone room this lead better happier classroom community able learn best way possible,213.03,1
ca,mrs,grades_prek_2,10,literacy_language,literacy,having class 24 students comes diverse learners some students learn best auditory means i class twenty four kindergarten students my students attend title 1 school great majority english language learners most students come low income homes students receive free breakfast lunch my students enthusiastic learners often faced many types hardships home school often safe by mobile listening storage center students able reinforce enhance learning they able listen stories using mobile listening center help reinforce high frequency words introduced in addition able listen stories reinforce reading comprehension skills strategies amongst auditory experiences a mobile listening center help keep equipment neat organized ready use help reinforce enhance literacy skills numerous students able use center help increase student learning,329.0,1
ga,mrs,grades_prek_2,2,appliedlearning,earlydevelopment,i recently read article giving students choice learn we already set goals not let choose sit give options sit i teach low income title 1 school every year i class range abilities yet age they learn differently different interests some adhd fast learners yet eager active learners want need able move around room yet place comfortable complete work we need classroom rug use class reading time students use learning times i also requested four kore kids wobble chairs four back jack padded portable chairs students still move whole group lessons without disrupting class having areas provide little ones way wiggle working benjamin franklin said tell i forget teach i may remember involve i learn i want children involved learning choice sit learn giving options comfortable flexible seating,481.04,1
wa,mrs,grades_3_5,2,literacy_language,literacy,my students crave challenge eat obstacles breakfast these new texts help ensure i materials keep challenged thinking we urban public k 5 elementary school our class comprised 12 girls 16 boys we incorporate hands experiences make learning meaningful my students eager curious creative learners heart social justice they delight teach with new common core standards adopted district students need understand author craft structure analyze framework impacts readers interaction text characters both texts also read alouds classroom they rich inner thinking students delve deep examine characters motives change course story these remarkable gifts provide students complex texts take analytical skills cull ponder they would extravagant remarkable gift would add depth library thank considering classroom donation,17.740000000000002,1
ca,mrs,grades_3_5,6,math_science history_civics,mathematics socialsciences,it end school year routines run course students need boost curriculum enter breakout box my students prove knowledge content solving riddles finding clues lead unlocking box prize my students desire challenges movement collaboration they thrive rigor far successful content engaging rich still fun my students working developing teammates one works best group i work school holds bar student achievement high i would like raise bar even breakout box i design different clues using specific content knowledge get students solve puzzles search unlocking breakout box this activity used subject areas students working teams whole class even individually i able use materials year round review content unit fun engaging way keeps students highly motivated prove learning donations project immediately improve classroom changing routines students end long difficult year behaviors begin become issue a breakout box provide us fun interactive way break routine still build cognitive sweat important everyday i also use materials beyond year incorporate fun activity review assessment culmination unit,102.5,1
ca,mrs,grades_3_5,0,literacy_language math_science,literacy mathematics,sitting still overrated it makes sense opera meditating classrooms child care centers given far honor deserves children need move tom hunter national association education young children our class flexible collaborativewe room full bright curious innovative wiggly third graders our brains work best comfortable space move around collaborate peers our teacher provides us child centered environment use critical thinking skills research inquiry while education evolving new rigorous standards incorporating technology experience world teacher needs help keep brains moving keeping us moving thank helping us grow learn we use new modern furniture help kids work ergonomically we need able work comfortably able move freely reach fullest potential especially children how expected excel sitting still day long i want provide opportunities collaborate peers exploring researching in child centered classroom students learn resourceful innovative collaborative inquisitive getting keeping students engaged perhaps important step creating successful learning outcome classroom design influences levels interaction engagement engagement active learning improve retention most children comfortable feel safe fun it drive motivation curiosity we greatly appreciate support helping us transform learning environment,1418.0800000000002,1
ca,ms,grades_3_5,0,math_science history_civics,appliedsciences history_geography,it not enough read book write essay connect deeply understand core subjects i want engage students imagination creativity reasoning i hope introducing creative problem solving skills required movie making i jump start future my students come diverse family situations increasing number lower income levels we recently designated title i school students receive free breakfast lunch many non english speaking parents working multiple jobs i disproportionate number struggling readers 2 years behind they good kids want improve skills traditional methods seem help they become easily frustrated unmotivated when i use creative approaches student written plays comic strips presentations engaged produce higher quality work displaying greater confidence material i want productive times increase help become students want movie making involves imagination critical thinking skills well strong understanding material i believe successfully strategy supporting students academic growth desire learn igniting imagination problem solving cooperation challenge solid readers always engaged grade level students face even greater challenges i use movies excite students increase connection science history literature necessitating self directed collaborative involved movies require many important comprehension skills planning writing story boarding filming editing a sample project would studying key figures american revolution students need answer questions impact still connect answering questions goal typically students get stuck regurgitating facts the efforts required bring people life movie promote higher level understanding movie making opportunities endless i imagine students i able find many new ways incorporate movies many ways 21st century teaching technology tapping creativity critical thinking communication collaborative efforts movies give students different learning styles chance shine they also require understanding core material transfer overall academic skills i also look forward watching students gain presentation experience required appearing camera rather delivering standard report front room,495.29,0
ca,ms,grades_prek_2,127,literacy_language,esl literacy,never society rapidly changed technology invades every corner lives how pretend educate citizens tomorrow without proper equipment our language arts social justice magnet school emphasizes respect self others this encompasses discipline high expectations well activism compassion the kids know agents change follow school motto be change want see world unfortunately 75 students come economically disadvantaged families parents not step help financially is turn ms k when i going able go site ms k my second grade students sometimes wait two three days able create documents practice skills games i designed complete research project they need new technology an ipad mini enable students access class qr codes website i posted video lessons review practice games i created take quizzes i could follow progress working independently new technology also help students review vocabulary slide shows students also able access google classroom type journal entries justify thinking math problems the speed new machine allow students work the size ipad makes easy children carry work this ipad would definitely make difference class students able review lessons online by donating project give students advantage by helping provide ipad mini classroom helped level playing field allowing students not access technology home practice basic skills,299.99,1
hi,mrs,grades_3_5,41,math_science,appliedsciences mathematics,do remember first time saw star wars wall e robots they wonderfully complex amazing see action students love robots enjoy programming i would like give opportunity use coding manipulate simple robots i teacher librarian elementary school services many navy army families hawaii the library center encouraging literacy preschool 6th grade campus about half students school military dependents move locations every three years my students need dash dot robot duo explore robotics coding students learn games puzzles make robots move sense various stimuli blocky wonder apps used program robots students collaborate communicate problem solve critically think experimenting robots navigate obstacle courses challenges these robots perfect maker space students create innovative solutions everyday problems my sixth grade elective class use resources creating final projects during times day i plan expand use younger students grades 3 5 these robots incorporate stem subject areas students learn computer programming science technology engineering math play crucial role students develop career skills future these technology tools many real life applications encourage students explore engineering computer science occupations,479.94,1
